batch,complete,p_guard_passed,median_dcor,low_p_value_count,null_like,warnings,exceptions
0,True,True,0.0604252149191288,0,False,,
1,True,True,0.052900538955001436,0,True,,
2,True,True,0.05221945002047594,1,True,,
3,True,True,0.05728234298214912,0,True,,
4,True,True,0.05116917571983215,0,True,,
5,True,True,0.05339751868083165,1,True,,
6,True,True,0.05643986199286687,1,True,,
7,True,True,0.04559715808762662,0,True,,
8,True,True,0.052058837592514055,1,True,,
9,True,True,0.048947205918396866,0,True,,
10,True,True,0.04779613748690482,0,True,,
11,True,True,0.05989375577937116,1,False,,
12,True,True,0.048540892526389254,0,True,,
13,True,True,0.05193069048124426,1,True,,
14,True,True,0.0617755151089167,0,False,,
15,True,True,0.048599985658873725,0,True,,
16,True,True,0.057109317400237024,1,True,,
17,True,True,0.05201994708717312,1,True,,
18,True,True,0.049736829950804404,0,True,,
19,True,True,0.05441510943402608,0,True,,
20,True,True,0.04824417487097155,0,True,,
21,True,True,0.05634065683553684,1,True,,
22,True,True,0.052540637272759434,1,True,,
23,True,True,0.05590418568300979,1,True,,
24,True,True,0.052027646966529804,0,True,,
25,True,True,0.05509728729189069,1,True,,
26,True,True,0.052617386771733735,0,True,,
27,True,True,0.0457645210813314,0,True,,
28,True,True,0.04514432041444599,0,True,,
29,True,True,0.057021595096450925,0,True,,
30,True,True,0.05047712756283772,0,True,,
31,True,True,0.05308916069968833,0,True,,
32,True,True,0.053203043295399065,1,True,,
33,True,True,0.059110747341126285,0,False,,
34,True,True,0.05469283642195363,0,True,,
35,True,True,0.05832563155667744,0,False,,
36,True,True,0.05029307469487392,0,True,,
37,True,False,0.06103414517963168,3,False,,
38,True,True,0.0644815315150064,1,False,,
39,True,True,0.04843902115371217,0,True,,
40,True,True,0.050017084939444824,1,True,,
41,True,False,0.053943388282722285,3,False,,
42,True,True,0.05592739215623961,0,True,,
43,True,True,0.054422723407759034,2,True,,
44,True,True,0.050261944201222056,1,True,,
45,True,True,0.047059324111126774,0,True,,
46,True,True,0.04956020113771205,0,True,,
47,True,True,0.06121724955999498,1,False,,
48,True,True,0.05149328917770986,1,True,,
49,True,True,0.05440020022521162,0,True,,
50,True,True,0.05176185241002082,2,True,,
51,True,True,0.052810524010972686,0,True,,
52,True,True,0.05312355305901899,1,True,,
53,True,True,0.05111425899042026,1,True,,
54,True,True,0.057539921791191516,2,True,,
55,True,True,0.05502542576597451,0,True,,
56,True,False,0.0669588426286137,5,False,,
57,True,True,0.05805653925432197,1,True,,
58,True,True,0.055262137048614886,1,True,,
59,True,True,0.05354127871691981,0,True,,
60,True,True,0.058246608134937775,0,False,,
61,True,True,0.049891954114990186,0,True,,
62,True,True,0.04653770686070023,1,True,,
63,True,True,0.05335753809640775,0,True,,
64,True,True,0.0553388882474969,1,True,,
65,True,True,0.05368969458869722,0,True,,
66,True,True,0.048104446730424286,0,True,,
67,True,True,0.052183523143845556,0,True,,
68,True,True,0.04943389150305037,1,True,,
69,True,True,0.05421529396270486,0,True,,
70,True,True,0.05893277061327404,0,False,,
71,True,True,0.049503733302079814,0,True,,
72,True,True,0.05257203406766983,1,True,,
73,True,True,0.0550354104768435,0,True,,
74,True,True,0.051427147830943584,1,True,,
75,True,True,0.05161411595077214,0,True,,
76,True,True,0.05723079088008205,2,True,,
77,True,True,0.053440680277009184,0,True,,
78,True,True,0.051815314778707114,0,True,,
79,True,True,0.05588173150726995,0,True,,
80,True,True,0.04940676387189891,0,True,,
81,True,True,0.05419370687624886,0,True,,
82,True,True,0.05482456486018799,0,True,,
83,True,True,0.04944649056667724,0,True,,
84,True,True,0.0487711264089162,1,True,,
85,True,True,0.052919965890314495,0,True,,
86,True,True,0.0494554555411916,0,True,,
87,True,True,0.056166722269053664,0,True,,
88,True,True,0.059644377349428304,1,False,,
89,True,True,0.054476224665457706,2,True,,
90,True,True,0.05418997133825508,1,True,,
91,True,True,0.05648332819414542,0,True,,
92,True,True,0.05024966272235294,0,True,,
93,True,True,0.054247672891751614,1,True,,
94,True,True,0.05315079967814039,0,True,,
95,True,True,0.05168652380349195,0,True,,
96,True,True,0.053447402189079424,1,True,,
97,True,True,0.05087123174028993,0,True,,
98,True,True,0.05800447036488816,0,True,,
99,True,True,0.053375621210756945,0,True,,
