fixture_id,left,right,phase,batch,replication,observed_statistic,permutation_p_value,residual_samples_path,null_statistics_path,seed_namespace,fixture_seed,residual_seed,permutation_seed,elapsed_seconds,warnings,exception_text,run_id
F2,X1,X2,f2-linear-direct-edge-detection,0,0,0.5589461242146491,0.005,residual_samples/batch-0-replication-0.csv,null_statistics/batch-0-replication-0.npy,batch-f2-linear-direct-edge-detection,3166939826984563031,7487038358526693983,2884274132940456770,0.2242355000344105,,,batch-f2-linear-direct-edge-detection-20260825-001
F2,X1,X2,f2-linear-direct-edge-detection,0,1,0.5460671777377457,0.005,residual_samples/batch-0-replication-1.csv,null_statistics/batch-0-replication-1.npy,batch-f2-linear-direct-edge-detection,14417614375862263287,2137171169256424826,18307801610018865586,0.19356849999167025,,,batch-f2-linear-direct-edge-detection-20260825-001
F2,X1,X2,f2-linear-direct-edge-detection,0,2,0.5404634338691147,0.005,residual_samples/batch-0-replication-2.csv,null_statistics/batch-0-replication-2.npy,batch-f2-linear-direct-edge-detection,982448072852064443,13634582252457268298,17827792867318491573,0.19716650003101677,,,batch-f2-linear-direct-edge-detection-20260825-001
F2,X1,X2,f2-linear-direct-edge-detection,0,3,0.5260418386925357,0.005,residual_samples/batch-0-replication-3.csv,null_statistics/batch-0-replication-3.npy,batch-f2-linear-direct-edge-detection,18340589307833674114,9002314150180194444,10636364492805566232,0.1952439000015147,,,batch-f2-linear-direct-edge-detection-20260825-001
F2,X1,X2,f2-linear-direct-edge-detection,0,4,0.5634923158242486,0.005,residual_samples/batch-0-replication-4.csv,null_statistics/batch-0-replication-4.npy,batch-f2-linear-direct-edge-detection,14114818946191252334,14355995623906343977,5096363092778216521,0.19696610001847148,,,batch-f2-linear-direct-edge-detection-20260825-001
F2,X1,X2,f2-linear-direct-edge-detection,0,5,0.5217223214754129,0.005,residual_samples/batch-0-replication-5.csv,null_statistics/batch-0-replication-5.npy,batch-f2-linear-direct-edge-detection,19564723741359080,13866483885641719981,16122264183785608820,0.19421169999986887,,,batch-f2-linear-direct-edge-detection-20260825-001
F2,X1,X2,f2-linear-direct-edge-detection,0,6,0.512003074555522,0.005,residual_samples/batch-0-replication-6.csv,null_statistics/batch-0-replication-6.npy,batch-f2-linear-direct-edge-detection,7181032689050819330,8774918061234450471,18118472965131334135,0.19518099998822436,,,batch-f2-linear-direct-edge-detection-20260825-001
F2,X1,X2,f2-linear-direct-edge-detection,0,7,0.4913132636319737,0.005,residual_samples/batch-0-replication-7.csv,null_statistics/batch-0-replication-7.npy,batch-f2-linear-direct-edge-detection,4475154085714356907,16039759798556427418,13000502864224119666,0.19166770001174882,,,batch-f2-linear-direct-edge-detection-20260825-001
F2,X1,X2,f2-linear-direct-edge-detection,0,8,0.4989312886211911,0.005,residual_samples/batch-0-replication-8.csv,null_statistics/batch-0-replication-8.npy,batch-f2-linear-direct-edge-detection,17736501416172238059,12679937033827946461,7858222854545487981,0.205625600006897,,,batch-f2-linear-direct-edge-detection-20260825-001
F2,X1,X2,f2-linear-direct-edge-detection,0,9,0.539949503094418,0.005,residual_samples/batch-0-replication-9.csv,null_statistics/batch-0-replication-9.npy,batch-f2-linear-direct-edge-detection,6270118306198153383,6634629951457030594,11389857764661548146,0.19808959995862097,,,batch-f2-linear-direct-edge-detection-20260825-001
