batch,complete,median_dcor,low_p_value_count,detected,warnings,exceptions
0,True,0.32311137443562965,10,True,,
1,True,0.31774467607319534,10,True,,
2,True,0.31175101276320705,10,True,,
3,True,0.30915937118901754,10,True,,
4,True,0.3174493616327865,10,True,,
5,True,0.325551087115695,10,True,,
6,True,0.31975215019118064,10,True,,
7,True,0.3152015129633138,10,True,,
8,True,0.31995202853110527,10,True,,
9,True,0.31076630703685837,10,True,,
10,True,0.3121664499919736,10,True,,
11,True,0.3123370319686754,10,True,,
12,True,0.3081987235669027,10,True,,
13,True,0.3138591671242973,10,True,,
14,True,0.3294193522245653,10,True,,
15,True,0.3101878172936442,10,True,,
16,True,0.306502962586946,10,True,,
17,True,0.30834768722408457,10,True,,
18,True,0.3119499385784442,10,True,,
19,True,0.3121409840753635,10,True,,
20,True,0.3012218111302829,10,True,,
21,True,0.3154764508068737,10,True,,
22,True,0.32228166981976564,10,True,,
23,True,0.3081700740077213,10,True,,
24,True,0.3130441403004174,10,True,,
25,True,0.30898234818194725,10,True,,
26,True,0.30813351612686246,10,True,,
27,True,0.3103790962987576,10,True,,
28,True,0.31579000884996195,10,True,,
29,True,0.31697422778213935,10,True,,
30,True,0.3112739583346983,10,True,,
31,True,0.31393356895241425,10,True,,
32,True,0.3151193352528252,10,True,,
33,True,0.3177107723587696,10,True,,
34,True,0.3123880109574888,10,True,,
35,True,0.3217228910975813,10,True,,
36,True,0.32000330803791366,10,True,,
37,True,0.3155438843202248,10,True,,
38,True,0.3129006718330367,10,True,,
39,True,0.30899059961286734,10,True,,
40,True,0.3144986743727604,10,True,,
41,True,0.30974439273238175,10,True,,
42,True,0.3106961700731806,10,True,,
43,True,0.3039189581693754,10,True,,
44,True,0.3073216510447635,10,True,,
45,True,0.3097224655637943,10,True,,
46,True,0.30972110934640673,10,True,,
47,True,0.30640905023205955,10,True,,
48,True,0.3097562675945483,10,True,,
49,True,0.32163263420851373,10,True,,
50,True,0.3097888445594231,10,True,,
51,True,0.3064101029363204,10,True,,
52,True,0.31564722230609765,10,True,,
53,True,0.3144360472343911,10,True,,
54,True,0.31889164584113716,10,True,,
55,True,0.3186024765625935,10,True,,
56,True,0.30782365888031826,10,True,,
57,True,0.3188417338260895,10,True,,
58,True,0.31649599617268753,10,True,,
59,True,0.3165869387559733,10,True,,
60,True,0.3125859971844127,10,True,,
61,True,0.30266589099533087,10,True,,
62,True,0.3099311455018123,10,True,,
63,True,0.3095433712012452,10,True,,
64,True,0.3113373049192072,10,True,,
65,True,0.31749983337355814,10,True,,
66,True,0.32155938311895194,10,True,,
67,True,0.3100581288845152,10,True,,
68,True,0.316571480501486,10,True,,
69,True,0.3194584860616943,10,True,,
70,True,0.3132281802629359,10,True,,
71,True,0.31607727001525876,10,True,,
72,True,0.3026062462206264,10,True,,
73,True,0.3117707123369928,10,True,,
74,True,0.30503292179553876,10,True,,
75,True,0.31565714126946465,10,True,,
76,True,0.30447597622876066,10,True,,
77,True,0.30453700765419944,10,True,,
78,True,0.2988010773610279,10,True,,
79,True,0.3141474293112223,10,True,,
80,True,0.3035523423865098,10,True,,
81,True,0.3154092780237573,10,True,,
82,True,0.31365375489531955,10,True,,
83,True,0.3191059837357868,10,True,,
84,True,0.31735062687266136,10,True,,
85,True,0.31558340337491925,10,True,,
86,True,0.30632759215474814,10,True,,
87,True,0.30817682078692943,10,True,,
88,True,0.2978050252208967,10,True,,
89,True,0.3078885210822633,10,True,,
90,True,0.30356848962878774,10,True,,
91,True,0.30878035362764866,10,True,,
92,True,0.31382334093626496,10,True,,
93,True,0.3206734342922481,10,True,,
94,True,0.32246351916066673,10,True,,
95,True,0.3166847377186155,10,True,,
96,True,0.3072764833693349,10,True,,
97,True,0.31033678337295906,10,True,,
98,True,0.31432724409839263,10,True,,
99,True,0.314915651475193,10,True,,
