fixture_id,left,right,phase,batch,replication,observed_statistic,permutation_p_value,residual_samples_path,null_statistics_path,seed_namespace,fixture_seed,residual_seed,permutation_seed,elapsed_seconds,warnings,exception_text,run_id
F3,X1,X2,f3-nonlinear-direct-edge-detection,0,0,0.34221861143545523,0.005,residual_samples/batch-0-replication-0.csv,null_statistics/batch-0-replication-0.npy,batch-f3-nonlinear-direct-edge-detection,8196170525069318702,16640983384641137199,10570246673250807744,0.24509540002327412,,,batch-f3-nonlinear-direct-edge-detection-20260825-001
F3,X1,X2,f3-nonlinear-direct-edge-detection,0,1,0.3000654249618463,0.005,residual_samples/batch-0-replication-1.csv,null_statistics/batch-0-replication-1.npy,batch-f3-nonlinear-direct-edge-detection,14011947493435452592,15734473149661538046,11968030712810770562,0.22109419998014346,,,batch-f3-nonlinear-direct-edge-detection-20260825-001
F3,X1,X2,f3-nonlinear-direct-edge-detection,0,2,0.31277179215783524,0.005,residual_samples/batch-0-replication-2.csv,null_statistics/batch-0-replication-2.npy,batch-f3-nonlinear-direct-edge-detection,511489876281961390,14540321631267500520,13120136971219355584,0.22635900002205744,,,batch-f3-nonlinear-direct-edge-detection-20260825-001
F3,X1,X2,f3-nonlinear-direct-edge-detection,0,3,0.32552225356159625,0.005,residual_samples/batch-0-replication-3.csv,null_statistics/batch-0-replication-3.npy,batch-f3-nonlinear-direct-edge-detection,13628347450948206673,8467420333381818041,15516084976191528884,0.22206229995936155,,,batch-f3-nonlinear-direct-edge-detection-20260825-001
F3,X1,X2,f3-nonlinear-direct-edge-detection,0,4,0.33879254763744976,0.005,residual_samples/batch-0-replication-4.csv,null_statistics/batch-0-replication-4.npy,batch-f3-nonlinear-direct-edge-detection,5741601608074194372,853115179200814575,1437070266355265868,0.21530339994933456,,,batch-f3-nonlinear-direct-edge-detection-20260825-001
F3,X1,X2,f3-nonlinear-direct-edge-detection,0,5,0.28424677141198995,0.005,residual_samples/batch-0-replication-5.csv,null_statistics/batch-0-replication-5.npy,batch-f3-nonlinear-direct-edge-detection,17875720631151103872,12338622672844254666,2145445075799610120,0.21571489999769256,,,batch-f3-nonlinear-direct-edge-detection-20260825-001
F3,X1,X2,f3-nonlinear-direct-edge-detection,0,6,0.3381584591165995,0.005,residual_samples/batch-0-replication-6.csv,null_statistics/batch-0-replication-6.npy,batch-f3-nonlinear-direct-edge-detection,11723333493791594282,3189171975615228007,7065496106094582756,0.2212252999888733,,,batch-f3-nonlinear-direct-edge-detection-20260825-001
F3,X1,X2,f3-nonlinear-direct-edge-detection,0,7,0.3235531665164557,0.005,residual_samples/batch-0-replication-7.csv,null_statistics/batch-0-replication-7.npy,batch-f3-nonlinear-direct-edge-detection,790928350064943800,6625796987022253428,3635521543835091797,0.21258969994960353,,,batch-f3-nonlinear-direct-edge-detection-20260825-001
F3,X1,X2,f3-nonlinear-direct-edge-detection,0,8,0.32041090241297665,0.005,residual_samples/batch-0-replication-8.csv,null_statistics/batch-0-replication-8.npy,batch-f3-nonlinear-direct-edge-detection,16261857872592177249,11984329954898686036,679208092935025474,0.2214786999975331,,,batch-f3-nonlinear-direct-edge-detection-20260825-001
F3,X1,X2,f3-nonlinear-direct-edge-detection,0,9,0.32266958235480364,0.005,residual_samples/batch-0-replication-9.csv,null_statistics/batch-0-replication-9.npy,batch-f3-nonlinear-direct-edge-detection,11281108222938933508,2033072569781222491,15584122342320151207,0.21995529998093843,,,batch-f3-nonlinear-direct-edge-detection-20260825-001
F3,X1,X2,f3-nonlinear-direct-edge-detection,1,0,0.31569397097618246,0.005,residual_samples/batch-1-replication-0.csv,null_statistics/batch-1-replication-0.npy,batch-f3-nonlinear-direct-edge-detection,17008917994729050650,6930639896847867565,11794966234297797481,0.2145433000405319,,,batch-f3-nonlinear-direct-edge-detection-20260825-001
F3,X1,X2,f3-nonlinear-direct-edge-detection,1,1,0.3249072807142538,0.005,residual_samples/batch-1-replication-1.csv,null_statistics/batch-1-replication-1.npy,batch-f3-nonlinear-direct-edge-detection,15063141822303051719,12179061728726995610,4506912836789097019,0.20868599996902049,,,batch-f3-nonlinear-direct-edge-detection-20260825-001
F3,X1,X2,f3-nonlinear-direct-edge-detection,1,2,0.30822505134556794,0.005,residual_samples/batch-1-replication-2.csv,null_statistics/batch-1-replication-2.npy,batch-f3-nonlinear-direct-edge-detection,4253451569687553603,15031146214313347891,2590379134680690070,0.21757600002456456,,,batch-f3-nonlinear-direct-edge-detection-20260825-001
F3,X1,X2,f3-nonlinear-direct-edge-detection,1,3,0.316423538243127,0.005,residual_samples/batch-1-replication-3.csv,null_statistics/batch-1-replication-3.npy,batch-f3-nonlinear-direct-edge-detection,15223934881488251946,298319616686341522,6434286228361703566,0.21857769996859133,,,batch-f3-nonlinear-direct-edge-detection-20260825-001
F3,X1,X2,f3-nonlinear-direct-edge-detection,1,4,0.3190658139032636,0.005,residual_samples/batch-1-replication-4.csv,null_statistics/batch-1-replication-4.npy,batch-f3-nonlinear-direct-edge-detection,10433106783972504982,10980018604895488805,11031980762481369748,0.21777069999370724,,,batch-f3-nonlinear-direct-edge-detection-20260825-001
F3,X1,X2,f3-nonlinear-direct-edge-detection,1,5,0.29286167382519845,0.005,residual_samples/batch-1-replication-5.csv,null_statistics/batch-1-replication-5.npy,batch-f3-nonlinear-direct-edge-detection,942552291821782176,9624245196845534999,17130948056222610126,0.21233790001133457,,,batch-f3-nonlinear-direct-edge-detection-20260825-001
F3,X1,X2,f3-nonlinear-direct-edge-detection,1,6,0.3378796788689676,0.005,residual_samples/batch-1-replication-6.csv,null_statistics/batch-1-replication-6.npy,batch-f3-nonlinear-direct-edge-detection,16308334629915838564,5959545085807263727,15936164256142463561,0.21344799996586516,,,batch-f3-nonlinear-direct-edge-detection-20260825-001
