fixture_id,left,right,phase,batch,replication,observed_statistic,permutation_p_value,residual_samples_path,null_statistics_path,seed_namespace,fixture_seed,residual_seed,permutation_seed,elapsed_seconds,warnings,exception_text,run_id
F4-residual-link,X1,X3,f4-residual-link,0,0,0.4741256084451995,0.005,residual_samples/batch-0-replication-0.csv,null_statistics/batch-0-replication-0.npy,batch-f4-residual-link,15968058297288104165,4247139105654176855,5541494176382575273,0.4154624999500811,,,batch-f4-residual-link-20260822-001
F4-residual-link,X1,X3,f4-residual-link,0,1,0.42323038247027517,0.005,residual_samples/batch-0-replication-1.csv,null_statistics/batch-0-replication-1.npy,batch-f4-residual-link,8031196747745297029,15501944852274969600,17807126344684485665,0.38782300002640113,,,batch-f4-residual-link-20260822-001
F4-residual-link,X1,X3,f4-residual-link,0,2,0.45256438963184015,0.005,residual_samples/batch-0-replication-2.csv,null_statistics/batch-0-replication-2.npy,batch-f4-residual-link,9721401631814124746,8031100321519711973,15601123138411445706,0.3932970999740064,,,batch-f4-residual-link-20260822-001
F4-residual-link,X1,X3,f4-residual-link,0,3,0.48158971433649095,0.005,residual_samples/batch-0-replication-3.csv,null_statistics/batch-0-replication-3.npy,batch-f4-residual-link,6231039575806909806,4640933272195051714,5361134414287098927,0.3813501999829896,,,batch-f4-residual-link-20260822-001
F4-residual-link,X1,X3,f4-residual-link,0,4,0.4251310471119838,0.005,residual_samples/batch-0-replication-4.csv,null_statistics/batch-0-replication-4.npy,batch-f4-residual-link,3855123474388766712,13445842063815116699,3194461381940724341,0.393065599957481,,,batch-f4-residual-link-20260822-001
F4-residual-link,X1,X3,f4-residual-link,0,5,0.43670325070054117,0.005,residual_samples/batch-0-replication-5.csv,null_statistics/batch-0-replication-5.npy,batch-f4-residual-link,368561459665389137,14039152541545012988,16057162338604490058,0.3651763999951072,,,batch-f4-residual-link-20260822-001
F4-residual-link,X1,X3,f4-residual-link,0,6,0.4724115686159124,0.005,residual_samples/batch-0-replication-6.csv,null_statistics/batch-0-replication-6.npy,batch-f4-residual-link,3689302625470962322,10196887554923132417,17803725266857211163,0.36125820002052933,,,batch-f4-residual-link-20260822-001
F4-residual-link,X1,X3,f4-residual-link,0,7,0.44012376237982637,0.005,residual_samples/batch-0-replication-7.csv,null_statistics/batch-0-replication-7.npy,batch-f4-residual-link,4041348796846441677,15599213011289788801,2324058537863012612,0.3692725999862887,,,batch-f4-residual-link-20260822-001
F4-residual-link,X1,X3,f4-residual-link,0,8,0.47153792619616614,0.005,residual_samples/batch-0-replication-8.csv,null_statistics/batch-0-replication-8.npy,batch-f4-residual-link,4730666189562772786,11825796336629372806,3819234806310738274,0.34911000001011416,,,batch-f4-residual-link-20260822-001
F4-residual-link,X1,X3,f4-residual-link,0,9,0.41295519202614583,0.005,residual_samples/batch-0-replication-9.csv,null_statistics/batch-0-replication-9.npy,batch-f4-residual-link,8610775389782498378,18335836020817365306,17006909495217058224,0.3780376000213437,,,batch-f4-residual-link-20260822-001
