fixture_id,left,right,phase,batch,replication,observed_statistic,permutation_p_value,residual_samples_path,null_statistics_path,seed_namespace,fixture_seed,residual_seed,permutation_seed,elapsed_seconds,warnings,exception_text,run_id
F5,X1,X2,f5-quadratic-repair,0,0,0.04440406545425146,0.91,residual_samples/batch-0-replication-0.csv,null_statistics/batch-0-replication-0.npy,batch-f5-quadratic-repair,1843176951068263318,9732951645910100111,3539816361074079701,0.43540689995279536,,,batch-f5-quadratic-repair-20260824-001
F5,X1,X2,f5-quadratic-repair,0,1,0.06214923860301826,0.22,residual_samples/batch-0-replication-1.csv,null_statistics/batch-0-replication-1.npy,batch-f5-quadratic-repair,6023306660086016994,7748937874394289260,17921416358191857115,0.3183242999948561,,,batch-f5-quadratic-repair-20260824-001
F5,X1,X2,f5-quadratic-repair,0,2,0.03928459927117286,0.98,residual_samples/batch-0-replication-2.csv,null_statistics/batch-0-replication-2.npy,batch-f5-quadratic-repair,14486483889728296101,8853054255064245644,15996209854779742867,0.32170440000481904,,,batch-f5-quadratic-repair-20260824-001
F5,X1,X2,f5-quadratic-repair,0,3,0.05024505601020859,0.64,residual_samples/batch-0-replication-3.csv,null_statistics/batch-0-replication-3.npy,batch-f5-quadratic-repair,4918405913489443670,4100298634204017586,11484278123333610558,0.3243833999731578,,,batch-f5-quadratic-repair-20260824-001
F5,X1,X2,f5-quadratic-repair,0,4,0.07238554343077332,0.115,residual_samples/batch-0-replication-4.csv,null_statistics/batch-0-replication-4.npy,batch-f5-quadratic-repair,8921158626697119311,4238216564620077054,9940693740060942028,0.32006769999861717,,,batch-f5-quadratic-repair-20260824-001
F5,X1,X2,f5-quadratic-repair,0,5,0.0447237933408884,0.895,residual_samples/batch-0-replication-5.csv,null_statistics/batch-0-replication-5.npy,batch-f5-quadratic-repair,7900157720836419752,4567384585811602514,9822474307542652488,0.3230517999618314,,,batch-f5-quadratic-repair-20260824-001
F5,X1,X2,f5-quadratic-repair,0,6,0.048337814716712314,0.705,residual_samples/batch-0-replication-6.csv,null_statistics/batch-0-replication-6.npy,batch-f5-quadratic-repair,14080079103400021023,15155548151024102910,6436375277595770923,0.3375308999675326,,,batch-f5-quadratic-repair-20260824-001
F5,X1,X2,f5-quadratic-repair,0,7,0.04948686014863942,0.63,residual_samples/batch-0-replication-7.csv,null_statistics/batch-0-replication-7.npy,batch-f5-quadratic-repair,14322637062601796033,14105590479740193704,10004007021325591809,0.31860419997246936,,,batch-f5-quadratic-repair-20260824-001
F5,X1,X2,f5-quadratic-repair,0,8,0.049775012989731235,0.62,residual_samples/batch-0-replication-8.csv,null_statistics/batch-0-replication-8.npy,batch-f5-quadratic-repair,13863127457150481065,4478325063533551555,44473451161739891,0.3273124999832362,,,batch-f5-quadratic-repair-20260824-001
F5,X1,X2,f5-quadratic-repair,0,9,0.03577282916183377,1.0,residual_samples/batch-0-replication-9.csv,null_statistics/batch-0-replication-9.npy,batch-f5-quadratic-repair,6104675772739400351,1142835716025485011,5918441417673492894,0.31847840000409633,,,batch-f5-quadratic-repair-20260824-001
F5,X1,X2,f5-quadratic-repair,1,0,0.053923449194353004,0.465,residual_samples/batch-1-replication-0.csv,null_statistics/batch-1-replication-0.npy,batch-f5-quadratic-repair,11012037609850190906,9921804513469076725,13530225434696597890,0.32660369999939576,,,batch-f5-quadratic-repair-20260824-001
F5,X1,X2,f5-quadratic-repair,1,1,0.06515239056179498,0.195,residual_samples/batch-1-replication-1.csv,null_statistics/batch-1-replication-1.npy,batch-f5-quadratic-repair,7369618628397197249,7885647553026509811,17133549234989981882,0.3198155999998562,,,batch-f5-quadratic-repair-20260824-001
F5,X1,X2,f5-quadratic-repair,1,2,0.03959650769982932,0.985,residual_samples/batch-1-replication-2.csv,null_statistics/batch-1-replication-2.npy,batch-f5-quadratic-repair,12871055078318266093,17163784408003175158,12971162937430890005,0.32637520000571385,,,batch-f5-quadratic-repair-20260824-001
F5,X1,X2,f5-quadratic-repair,1,3,0.04591416966508457,0.85,residual_samples/batch-1-replication-3.csv,null_statistics/batch-1-replication-3.npy,batch-f5-quadratic-repair,2352947258658187435,2966292728191181273,10496977078652058438,0.31936309998854995,,,batch-f5-quadratic-repair-20260824-001
