phase,batch,complete,p_guard_passed,median_dcor,low_p_value_count,null_like,warnings,exceptions
calibration,0,True,True,0.05810890845941294,2,True,,
calibration,1,True,True,0.05682324887101908,2,True,,
calibration,2,True,True,0.055413378894545465,0,True,,
calibration,3,True,True,0.04916197920540778,1,True,,
calibration,4,True,True,0.04833494826554666,0,True,,
calibration,5,True,True,0.052727602960073054,0,True,,
calibration,6,True,True,0.04615213064373093,1,True,,
calibration,7,True,True,0.049642646013943637,1,True,,
calibration,8,True,True,0.051541701963699796,0,True,,
calibration,9,True,True,0.05214846396457441,1,True,,
calibration,10,True,True,0.058242447845091264,1,True,,
calibration,11,True,True,0.06228657996967192,1,False,,
calibration,12,True,True,0.04657457284873781,0,True,,
calibration,13,True,True,0.05939553351664795,1,False,,
calibration,14,True,True,0.05528884901243916,1,True,,
calibration,15,True,True,0.0561329950889608,0,True,,
calibration,16,True,True,0.04896216366496569,0,True,,
calibration,17,True,True,0.05924256406892754,0,False,,
calibration,18,True,True,0.05564186934171719,0,True,,
calibration,19,True,True,0.056281708335778835,2,True,,
calibration,20,True,True,0.057509898481081526,1,True,,
calibration,21,True,True,0.057930612073531604,1,True,,
calibration,22,True,True,0.05297918349736008,0,True,,
calibration,23,True,True,0.054636542196599185,0,True,,
calibration,24,True,True,0.051258595370584956,0,True,,
calibration,25,True,True,0.056505197472607904,0,True,,
calibration,26,True,True,0.06530395515042103,1,False,,
calibration,27,True,True,0.05960093513710622,0,False,,
calibration,28,True,True,0.04992904415529327,0,True,,
calibration,29,True,True,0.04827683465752804,2,True,,
calibration,30,True,True,0.051712732451340435,1,True,,
calibration,31,True,True,0.05113043007643827,1,True,,
calibration,32,True,True,0.05374804770346918,0,True,,
calibration,33,True,True,0.05124020551463864,0,True,,
calibration,34,True,True,0.05652502051694602,1,True,,
calibration,35,True,True,0.04784881145205229,1,True,,
calibration,36,True,True,0.06160851240270332,0,False,,
calibration,37,True,True,0.04844014231764317,0,True,,
calibration,38,True,True,0.05765037837483364,2,True,,
calibration,39,True,True,0.05685406511162299,1,True,,
calibration,40,True,True,0.05517743968883678,1,True,,
calibration,41,True,True,0.05401772746005379,2,True,,
calibration,42,True,True,0.05428658704890584,1,True,,
calibration,43,True,True,0.054191508285476496,0,True,,
calibration,44,True,True,0.05280775121961977,0,True,,
calibration,45,True,True,0.0565856109482524,0,True,,
calibration,46,True,True,0.05067792844867396,0,True,,
calibration,47,True,True,0.05027444105032077,0,True,,
calibration,48,True,True,0.05220643205698407,0,True,,
calibration,49,True,True,0.052103821695078795,1,True,,
calibration,50,True,True,0.04950227330364011,0,True,,
calibration,51,True,True,0.05472937805884308,0,True,,
calibration,52,True,True,0.04981258589265805,1,True,,
calibration,53,True,True,0.05286316874992535,1,True,,
calibration,54,True,True,0.05512081755409008,1,True,,
calibration,55,True,True,0.05621617837580837,0,True,,
calibration,56,True,True,0.05968312706679553,0,False,,
calibration,57,True,True,0.052538795196498206,0,True,,
calibration,58,True,True,0.05120528998867088,0,True,,
calibration,59,True,True,0.05538280664955701,0,True,,
calibration,60,True,True,0.04717021526284522,0,True,,
calibration,61,True,True,0.04731872800333174,0,True,,
calibration,62,True,True,0.05138285855761554,0,True,,
calibration,63,True,True,0.05235891169617231,1,True,,
calibration,64,True,True,0.051749589605167304,0,True,,
calibration,65,True,True,0.05362960195654104,1,True,,
calibration,66,True,True,0.05542752303940905,1,True,,
calibration,67,True,True,0.04916548374691811,1,True,,
calibration,68,True,True,0.05276150299370261,0,True,,
calibration,69,True,True,0.05306464343797609,0,True,,
calibration,70,True,True,0.05339368591410956,0,True,,
calibration,71,True,True,0.05462645223436782,0,True,,
calibration,72,True,True,0.05794919503768645,0,True,,
calibration,73,True,True,0.05288878419606828,1,True,,
calibration,74,True,True,0.05686743145085858,0,True,,
calibration,75,True,True,0.05983391196046431,0,False,,
calibration,76,True,True,0.05088935754669511,0,True,,
calibration,77,True,True,0.05458112762601255,2,True,,
calibration,78,True,True,0.05487045801526982,0,True,,
calibration,79,True,True,0.05414777827976083,1,True,,
calibration,80,True,True,0.05462412952092616,0,True,,
calibration,81,True,True,0.05350869451800079,0,True,,
calibration,82,True,True,0.051957757388514283,0,True,,
calibration,83,True,True,0.05099669431231094,0,True,,
calibration,84,True,True,0.05294396629084895,0,True,,
calibration,85,True,True,0.04813369955926912,0,True,,
calibration,86,True,True,0.0525904189255478,0,True,,
calibration,87,True,True,0.05029167360129273,1,True,,
calibration,88,True,True,0.05153385504177619,0,True,,
calibration,89,True,True,0.04968018477280592,1,True,,
calibration,90,True,True,0.05209138725192008,1,True,,
calibration,91,True,True,0.053054307828965634,0,True,,
calibration,92,True,True,0.05983710554294074,0,False,,
calibration,93,True,True,0.06031398315001096,1,False,,
calibration,94,True,True,0.05783923408315505,1,True,,
calibration,95,True,True,0.05534362145099046,2,True,,
calibration,96,True,True,0.04727368211547239,1,True,,
calibration,97,True,True,0.052586536370205106,0,True,,
calibration,98,True,True,0.055118124035761884,0,True,,
calibration,99,True,True,0.0477102266308808,0,True,,
