phase,batch,replication,observed_statistic,permutation_p_value,null_statistics_path,seed_namespace,left_seed,right_seed,permutation_seed,elapsed_seconds,warnings,exception_text,run_id
calibration,0,0,0.05265263390590292,0.58,null_statistics/batch-0-replication-0.npy,batch-null-calibration,9441132613012406846,9823088291154275628,8534823712495780169,0.25397499999962747,,,batch-null-calibration-20260821-001
calibration,0,1,0.06089083685626669,0.225,null_statistics/batch-0-replication-1.npy,batch-null-calibration,3486747926360980805,3483510569989259818,1204032093151440482,0.25897189999523107,,,batch-null-calibration-20260821-001
calibration,0,2,0.08319440084433075,0.015,null_statistics/batch-0-replication-2.npy,batch-null-calibration,11113710945051694803,10281070484531273010,7275169853033267718,0.2506755000067642,,,batch-null-calibration-20260821-001
calibration,0,3,0.057311313133660016,0.32,null_statistics/batch-0-replication-3.npy,batch-null-calibration,1884474161894156482,16546079801782492189,12897496721989021056,0.2502094999945257,,,batch-null-calibration-20260821-001
calibration,0,4,0.046909962318390196,0.76,null_statistics/batch-0-replication-4.npy,batch-null-calibration,14732577021701006819,7942295024203634488,7521431199514317774,0.24931679999281187,,,batch-null-calibration-20260821-001
calibration,0,5,0.058906503785165855,0.33,null_statistics/batch-0-replication-5.npy,batch-null-calibration,15269929708461335845,1717170491636338568,17484412889378350754,0.24832830000377726,,,batch-null-calibration-20260821-001
calibration,0,6,0.05469586925236514,0.46,null_statistics/batch-0-replication-6.npy,batch-null-calibration,9827596785049901353,6358823381074866629,5997043066314998663,0.250511699996423,,,batch-null-calibration-20260821-001
calibration,0,7,0.08228219502844177,0.035,null_statistics/batch-0-replication-7.npy,batch-null-calibration,4639749883778301942,474323212084989219,13451842876713525218,0.24974300000758376,,,batch-null-calibration-20260821-001
calibration,0,8,0.05200616464171507,0.52,null_statistics/batch-0-replication-8.npy,batch-null-calibration,11995110937938215636,8062243223010027399,18092588155004314231,0.25026010000146925,,,batch-null-calibration-20260821-001
calibration,0,9,0.07192189894154229,0.075,null_statistics/batch-0-replication-9.npy,batch-null-calibration,8322236474765323997,4242055787844103086,8966431096169469271,0.25239769999461714,,,batch-null-calibration-20260821-001
calibration,1,0,0.06848034354551413,0.16,null_statistics/batch-1-replication-0.npy,batch-null-calibration,15630001268634951538,14527457237315670764,5890937138496335762,0.25146050000330433,,,batch-null-calibration-20260821-001
calibration,1,1,0.06071851110105883,0.235,null_statistics/batch-1-replication-1.npy,batch-null-calibration,9370685659172601872,6682634833187071892,8933581233756112809,0.25121289999515284,,,batch-null-calibration-20260821-001
calibration,1,2,0.0736839646280655,0.03,null_statistics/batch-1-replication-2.npy,batch-null-calibration,5837666942789832117,16771014117735913492,8609409263482530751,0.25630619999719784,,,batch-null-calibration-20260821-001
calibration,1,3,0.05260011043509733,0.59,null_statistics/batch-1-replication-3.npy,batch-null-calibration,7091022168366808273,4341510635703382795,5993544732571746684,0.25169619999360293,,,batch-null-calibration-20260821-001
calibration,1,4,0.04457470325657615,0.87,null_statistics/batch-1-replication-4.npy,batch-null-calibration,12381339437094657417,12343242283816499987,1407231307284173289,0.2524002999998629,,,batch-null-calibration-20260821-001
calibration,1,5,0.04776709047177144,0.72,null_statistics/batch-1-replication-5.npy,batch-null-calibration,8716291002412401466,2548858682328571692,3711601688098731771,0.25109629999496974,,,batch-null-calibration-20260821-001
calibration,1,6,0.05609941552021202,0.375,null_statistics/batch-1-replication-6.npy,batch-null-calibration,10406304282246034213,14877164393468550466,14645651885928685702,0.2563934000063455,,,batch-null-calibration-20260821-001
calibration,1,7,0.0923895981224909,0.015,null_statistics/batch-1-replication-7.npy,batch-null-calibration,10524008575667562892,6218094529980615314,7153819435157241839,0.25503180001396686,,,batch-null-calibration-20260821-001
calibration,1,8,0.054763481457453966,0.355,null_statistics/batch-1-replication-8.npy,batch-null-calibration,1203850227912792492,11583783603829862938,9167581070256581546,0.25383030000375584,,,batch-null-calibration-20260821-001
calibration,1,9,0.05754708222182614,0.405,null_statistics/batch-1-replication-9.npy,batch-null-calibration,16613736913014889931,11206330797366876798,17462890897305865284,0.2542500999988988,,,batch-null-calibration-20260821-001
calibration,2,0,0.05860964521394606,0.32,null_statistics/batch-2-replication-0.npy,batch-null-calibration,1677204513150812565,17857517119211186100,3093756571312294247,0.25962880000588484,,,batch-null-calibration-20260821-001
