phase,batch,complete,p_guard_passed,median_dcor,low_p_value_count,null_like,warnings,exceptions
confirmation,0,True,True,0.056573574480379425,1,True,,
confirmation,1,True,True,0.04715810032371049,0,True,,
confirmation,2,True,True,0.05291548859468631,1,True,,
confirmation,3,True,True,0.0554978466081007,1,True,,
confirmation,4,True,True,0.05390173864854475,0,True,,
confirmation,5,True,True,0.052855123412474773,0,True,,
confirmation,6,True,True,0.052721102787752605,2,True,,
confirmation,7,True,True,0.052552195436243176,1,True,,
confirmation,8,True,True,0.05897696082886559,2,False,,
confirmation,9,True,True,0.052136822577836264,0,True,,
confirmation,10,True,True,0.053568911720371315,0,True,,
confirmation,11,True,True,0.062066831135850285,1,False,,
confirmation,12,True,True,0.060643932581764606,1,False,,
confirmation,13,True,True,0.05477699261485329,1,True,,
confirmation,14,True,False,0.05794253849290611,3,False,,
confirmation,15,True,True,0.04976502059071351,1,True,,
confirmation,16,True,True,0.05670665447025368,0,True,,
confirmation,17,True,True,0.05504988375281254,0,True,,
confirmation,18,True,True,0.05608043768711932,0,True,,
confirmation,19,True,True,0.05386786413028048,1,True,,
confirmation,20,True,True,0.05524981075373736,0,True,,
confirmation,21,True,True,0.04509001900175234,0,True,,
confirmation,22,True,True,0.05422231332942054,0,True,,
confirmation,23,True,True,0.05262756359743391,1,True,,
confirmation,24,True,True,0.056329833369714435,0,True,,
confirmation,25,True,True,0.05476781127308136,1,True,,
confirmation,26,True,True,0.04797830317694793,0,True,,
confirmation,27,True,True,0.05074866406943126,0,True,,
confirmation,28,True,True,0.053269773493437346,0,True,,
confirmation,29,True,True,0.04951414702696299,1,True,,
confirmation,30,True,True,0.06299699911824187,0,False,,
confirmation,31,True,True,0.05192405742686479,0,True,,
confirmation,32,True,True,0.049432056909441205,0,True,,
confirmation,33,True,True,0.053002492370524984,1,True,,
confirmation,34,True,True,0.056061561005925985,1,True,,
confirmation,35,True,True,0.05652526424999624,2,True,,
confirmation,36,True,True,0.05007781966739015,1,True,,
confirmation,37,True,True,0.05069003328126805,1,True,,
confirmation,38,True,True,0.05093561864560499,1,True,,
confirmation,39,True,True,0.04887895328252499,0,True,,
confirmation,40,True,True,0.05468666996331399,0,True,,
confirmation,41,True,True,0.04709997182520155,0,True,,
confirmation,42,True,True,0.05867372470146147,0,False,,
confirmation,43,True,True,0.05776935411709578,1,True,,
confirmation,44,True,True,0.05393668369963897,0,True,,
confirmation,45,True,True,0.046500391070456636,0,True,,
confirmation,46,True,True,0.05687293179465232,2,True,,
confirmation,47,True,True,0.05148678590306806,0,True,,
confirmation,48,True,True,0.06445785853698485,0,False,,
confirmation,49,True,True,0.04774717735863554,0,True,,
confirmation,50,True,True,0.05528683539548031,1,True,,
confirmation,51,True,True,0.05542572484731051,0,True,,
confirmation,52,True,True,0.04975866952488715,0,True,,
confirmation,53,True,True,0.054598786005157815,1,True,,
confirmation,54,True,True,0.050566140288459856,1,True,,
confirmation,55,True,True,0.04885404934433641,0,True,,
confirmation,56,True,True,0.05635991804079052,1,True,,
confirmation,57,True,True,0.055784704349302855,0,True,,
confirmation,58,True,True,0.05737572425538942,0,True,,
confirmation,59,True,True,0.05642495413986551,0,True,,
confirmation,60,True,True,0.0531498263574787,1,True,,
confirmation,61,True,True,0.056864907306274845,1,True,,
confirmation,62,True,True,0.0536710853517526,0,True,,
confirmation,63,True,True,0.05275382902130413,0,True,,
confirmation,64,True,True,0.050371122089182645,0,True,,
confirmation,65,True,True,0.05088762852377734,0,True,,
confirmation,66,True,True,0.051705870198501806,0,True,,
confirmation,67,True,True,0.05823649959329615,1,True,,
confirmation,68,True,True,0.052640315289621306,0,True,,
confirmation,69,True,True,0.05572027110579452,1,True,,
confirmation,70,True,True,0.053849289691848656,0,True,,
confirmation,71,True,True,0.05399286138502368,0,True,,
confirmation,72,True,True,0.05245544733823996,0,True,,
confirmation,73,True,True,0.05138847646092426,1,True,,
confirmation,74,True,True,0.05165223564280376,0,True,,
confirmation,75,True,True,0.0477111069051473,0,True,,
confirmation,76,True,True,0.05565958376533953,1,True,,
confirmation,77,True,True,0.04836646505736725,0,True,,
confirmation,78,True,True,0.05177059388611259,0,True,,
confirmation,79,True,True,0.05817731315443857,0,True,,
confirmation,80,True,True,0.05462879039700118,0,True,,
confirmation,81,True,True,0.05272225101599738,1,True,,
confirmation,82,True,True,0.05642642810286155,1,True,,
confirmation,83,True,True,0.05297086506955885,0,True,,
confirmation,84,True,True,0.04992181171711128,0,True,,
confirmation,85,True,True,0.052671036883626135,1,True,,
confirmation,86,True,True,0.051138247908538145,0,True,,
confirmation,87,True,True,0.05968069078604467,1,False,,
confirmation,88,True,True,0.050183228811828295,0,True,,
confirmation,89,True,True,0.05232133893443583,2,True,,
confirmation,90,True,True,0.05377469846867837,2,True,,
confirmation,91,True,True,0.05312406134218471,1,True,,
confirmation,92,True,True,0.04930099771030071,1,True,,
confirmation,93,True,False,0.052620628599559946,3,False,,
confirmation,94,True,True,0.052994143306983654,0,True,,
confirmation,95,True,True,0.049013817244784236,1,True,,
confirmation,96,True,True,0.049862103100040175,0,True,,
confirmation,97,True,True,0.05343201462686112,0,True,,
confirmation,98,True,True,0.052993168266745716,1,True,,
confirmation,99,True,True,0.05037846640935894,1,True,,
