phase,batch,replication,observed_statistic,permutation_p_value,null_statistics_path,seed_namespace,left_seed,right_seed,permutation_seed,elapsed_seconds,warnings,exception_text,run_id
confirmation,0,0,0.06718058823952659,0.11,null_statistics/batch-0-replication-0.npy,batch-null-confirmation,1575934733811644846,9260104017834926083,8083953613672890611,0.2751514999981737,,,batch-null-confirmation-20260821-001
confirmation,0,1,0.08439572485461912,0.015,null_statistics/batch-0-replication-1.npy,batch-null-confirmation,1027178184974067369,5624892384379150296,3433974248289404085,0.27546930000244174,,,batch-null-confirmation-20260821-001
confirmation,0,2,0.046242535187367366,0.815,null_statistics/batch-0-replication-2.npy,batch-null-confirmation,3915716712730201393,7893757521827676023,7059872711869338859,0.2849828000034904,,,batch-null-confirmation-20260821-001
confirmation,0,3,0.05677297762273125,0.465,null_statistics/batch-0-replication-3.npy,batch-null-confirmation,3885997424174723133,2929313702900854485,2913554948640232161,0.2764924999937648,,,batch-null-confirmation-20260821-001
confirmation,0,4,0.0474782820527296,0.705,null_statistics/batch-0-replication-4.npy,batch-null-confirmation,1491362845086490864,5781779934742870821,7363273092151125470,0.2835567000001902,,,batch-null-confirmation-20260821-001
confirmation,0,5,0.04451180983871691,0.865,null_statistics/batch-0-replication-5.npy,batch-null-confirmation,17003211359990480130,14099645863677179466,12591331427583765770,0.2845809999998892,,,batch-null-confirmation-20260821-001
confirmation,0,6,0.06822810942394596,0.175,null_statistics/batch-0-replication-6.npy,batch-null-confirmation,1239481640503444446,16927632157342304666,8505607896899336178,0.2801986999984365,,,batch-null-confirmation-20260821-001
confirmation,0,7,0.05504090701750659,0.38,null_statistics/batch-0-replication-7.npy,batch-null-confirmation,3686483451879499737,16383093712386452562,7145072317262283412,0.29207759999553673,,,batch-null-confirmation-20260821-001
confirmation,0,8,0.0563741713380276,0.46,null_statistics/batch-0-replication-8.npy,batch-null-confirmation,17132020321406028596,14936309236542761725,10467329594928847705,0.2753648000070825,,,batch-null-confirmation-20260821-001
confirmation,0,9,0.058555389636303,0.265,null_statistics/batch-0-replication-9.npy,batch-null-confirmation,18296807281397437510,14842388798414607318,13083507155920036011,0.28150909999385476,,,batch-null-confirmation-20260821-001
confirmation,1,0,0.059625848816414716,0.31,null_statistics/batch-1-replication-0.npy,batch-null-confirmation,2436162046620661134,17783189665875639770,10009818049617224396,0.27768479999213014,,,batch-null-confirmation-20260821-001
confirmation,1,1,0.056661021133090385,0.39,null_statistics/batch-1-replication-1.npy,batch-null-confirmation,4493763104736962400,10419342378842825778,17002313087971538487,0.28116850000515115,,,batch-null-confirmation-20260821-001
confirmation,1,2,0.04332535732250404,0.89,null_statistics/batch-1-replication-2.npy,batch-null-confirmation,17060093374363316506,1353800176472443256,6892606361384696803,0.30279330001212656,,,batch-null-confirmation-20260821-001
confirmation,1,3,0.039431300142907515,0.985,null_statistics/batch-1-replication-3.npy,batch-null-confirmation,1002222819626829713,18260966484771537257,7681176482038049622,0.2888173000101233,,,batch-null-confirmation-20260821-001
confirmation,1,4,0.04752895258796283,0.72,null_statistics/batch-1-replication-4.npy,batch-null-confirmation,1431446451182085870,10289922560384506940,16317597398791182454,0.2775207000086084,,,batch-null-confirmation-20260821-001
confirmation,1,5,0.04629415712696563,0.795,null_statistics/batch-1-replication-5.npy,batch-null-confirmation,730260555354382842,9141838377018336353,10483018215278519180,0.27293659999850206,,,batch-null-confirmation-20260821-001
confirmation,1,6,0.0717678465403987,0.07,null_statistics/batch-1-replication-6.npy,batch-null-confirmation,18321675578138491912,7274740307671395959,18148470697746647900,0.28960279999591876,,,batch-null-confirmation-20260821-001
confirmation,1,7,0.05103071331101102,0.64,null_statistics/batch-1-replication-7.npy,batch-null-confirmation,17289330399304778704,8035945995394955648,10110682167938261208,0.2861657999892486,,,batch-null-confirmation-20260821-001
confirmation,1,8,0.0417480327770265,0.94,null_statistics/batch-1-replication-8.npy,batch-null-confirmation,1659719259603052090,9278037232105789664,13282360809525794094,0.2879996999981813,,,batch-null-confirmation-20260821-001
confirmation,1,9,0.04678724805945815,0.72,null_statistics/batch-1-replication-9.npy,batch-null-confirmation,16009552334494512617,18036015646835558222,6501528038475952971,0.2774213999946369,,,batch-null-confirmation-20260821-001
confirmation,2,0,0.045980253014090415,0.79,null_statistics/batch-2-replication-0.npy,batch-null-confirmation,18096544646283927618,8545625281720561735,7615606896760369552,0.2856190000020433,,,batch-null-confirmation-20260821-001
confirmation,2,1,0.053702611743316066,0.465,null_statistics/batch-2-replication-1.npy,batch-null-confirmation,10256137038544353853,8916973070630516292,7240943744353416440,0.27239699999336153,,,batch-null-confirmation-20260821-001
confirmation,2,2,0.05919398762147987,0.325,null_statistics/batch-2-replication-2.npy,batch-null-confirmation,3324360845817821619,13467485592533043810,8981249680914254234,0.28080740000586957,,,batch-null-confirmation-20260821-001
confirmation,2,3,0.06497330049265257,0.185,null_statistics/batch-2-replication-3.npy,batch-null-confirmation,7166696914769813942,7894859657482133097,12227030420501302211,0.27837349999754224,,,batch-null-confirmation-20260821-001
confirmation,2,4,0.05212836544605656,0.535,null_statistics/batch-2-replication-4.npy,batch-null-confirmation,2726552596787016503,9204234791790617225,3747615061405808068,0.27233210000849795,,,batch-null-confirmation-20260821-001
confirmation,2,5,0.0491225823517256,0.695,null_statistics/batch-2-replication-5.npy,batch-null-confirmation,4057869103693758470,18082715883087102719,530798678012307937,0.27598559999023564,,,batch-null-confirmation-20260821-001
confirmation,2,6,0.09263890307542626,0.025,null_statistics/batch-2-replication-6.npy,batch-null-confirmation,14014075249740674648,8833965486529982220,2916453066967008288,0.2733635000040522,,,batch-null-confirmation-20260821-001
confirmation,2,7,0.04015211325847959,0.97,null_statistics/batch-2-replication-7.npy,batch-null-confirmation,16272579226121675444,9750182079436918154,6274402635514735754,0.2794265999982599,,,batch-null-confirmation-20260821-001
confirmation,2,8,0.060870270732100135,0.225,null_statistics/batch-2-replication-8.npy,batch-null-confirmation,8059970968275578913,14142437802263626958,3090549159668310338,0.2715584999968996,,,batch-null-confirmation-20260821-001
confirmation,2,9,0.04978504893010998,0.67,null_statistics/batch-2-replication-9.npy,batch-null-confirmation,2441711323647836217,8053230331810648871,8940996126064728153,0.2742376999958651,,,batch-null-confirmation-20260821-001
confirmation,3,0,0.05674112755540015,0.295,null_statistics/batch-3-replication-0.npy,batch-null-confirmation,14583190246901427100,6681104618510552545,17176313469707090914,0.28345139999873936,,,batch-null-confirmation-20260821-001
confirmation,3,1,0.06789973084661738,0.11,null_statistics/batch-3-replication-1.npy,batch-null-confirmation,18147362263279322250,5236820434078493370,8976590511581684945,0.27211109999916516,,,batch-null-confirmation-20260821-001
confirmation,3,2,0.05025831636913082,0.695,null_statistics/batch-3-replication-2.npy,batch-null-confirmation,1540449937254458683,10168673076547516462,8966572302273124697,0.27546749998873565,,,batch-null-confirmation-20260821-001
confirmation,3,3,0.051784806883412214,0.515,null_statistics/batch-3-replication-3.npy,batch-null-confirmation,281650382256868265,7061448844517516440,902316208280155283,0.2732613999978639,,,batch-null-confirmation-20260821-001
confirmation,3,4,0.03956968549842276,0.98,null_statistics/batch-3-replication-4.npy,batch-null-confirmation,6485743709913496374,7260668508928345313,10682263920099012513,0.28211849999206606,,,batch-null-confirmation-20260821-001
confirmation,3,5,0.08496152186823054,0.02,null_statistics/batch-3-replication-5.npy,batch-null-confirmation,2046309885831386514,8186362627230299295,1038107800880131260,0.2704364999954123,,,batch-null-confirmation-20260821-001
confirmation,3,6,0.0749304231819553,0.105,null_statistics/batch-3-replication-6.npy,batch-null-confirmation,11842509440300651789,10395373365826880969,12644489877725634162,0.2768249999935506,,,batch-null-confirmation-20260821-001
confirmation,3,7,0.0738003834112235,0.08,null_statistics/batch-3-replication-7.npy,batch-null-confirmation,15234689153291840222,1705564270308134477,10287676256947906331,0.2772947000048589,,,batch-null-confirmation-20260821-001
confirmation,3,8,0.04446606706613134,0.825,null_statistics/batch-3-replication-8.npy,batch-null-confirmation,17352775425847129627,14042547180673544370,8501531229399013825,0.2777988000016194,,,batch-null-confirmation-20260821-001
