fixture_id,replication,pair_role,expected_class,left,right,observed_statistic,permutation_p_value,null_statistics_path,fixture_seed,residual_seed,evaluation_seed,permutation_seed,profile,elapsed_seconds,warnings,exception_text,residual_sample_path,run_id,gate_result
F1,0,target,null-like,X1,X2,0.04334053613927789,0.875,substantive\null_statistics\F1-replication-0-target.npy,5097350615778718111,16442031850795279104,4962831147454197119,8606196866102111207,full,0.9076600999997027,,,substantive\residual_samples\F1-replication-0-target.csv,gate0-20260820-001,NARROW
F1,0,null_control,null-like,X4,X5,0.047153106357094056,0.73,substantive\null_statistics\F1-replication-0-null_control.npy,5097350615778718111,11997606070422263255,9984015471204184410,12782175466662484475,full,0.8749893000003794,,,substantive\residual_samples\F1-replication-0-null_control.csv,gate0-20260820-001,NARROW
F1,1,target,null-like,X1,X2,0.052233479825207,0.625,substantive\null_statistics\F1-replication-1-target.npy,11156509174601020456,8374861408836712896,10870192034193027181,2862574279194031335,full,0.8728776999996626,,,substantive\residual_samples\F1-replication-1-target.csv,gate0-20260820-001,NARROW
F1,1,null_control,null-like,X4,X5,0.0714648461497365,0.095,substantive\null_statistics\F1-replication-1-null_control.npy,11156509174601020456,9095913084280899623,2306191665235856653,2117327785386119256,full,0.8700141000008443,,,substantive\residual_samples\F1-replication-1-null_control.csv,gate0-20260820-001,NARROW
F1,2,target,null-like,X1,X2,0.04756929003799338,0.765,substantive\null_statistics\F1-replication-2-target.npy,9563547425575155782,8206658298054765100,11806630312743684697,9597511182677642445,full,0.8695096999999805,,,substantive\residual_samples\F1-replication-2-target.csv,gate0-20260820-001,NARROW
F1,2,null_control,null-like,X4,X5,0.04757327549119107,0.72,substantive\null_statistics\F1-replication-2-null_control.npy,9563547425575155782,6635304905301459761,17939384759653103424,16178450786231075639,full,0.8630810000013298,,,substantive\residual_samples\F1-replication-2-null_control.csv,gate0-20260820-001,NARROW
F1,3,target,null-like,X1,X2,0.047606685675764954,0.725,substantive\null_statistics\F1-replication-3-target.npy,13887916233821903830,2977100181573055794,16974305964734402250,4612546193079630529,full,0.8624909999998636,,,substantive\residual_samples\F1-replication-3-target.csv,gate0-20260820-001,NARROW
F1,3,null_control,null-like,X4,X5,0.05638852021450554,0.345,substantive\null_statistics\F1-replication-3-null_control.npy,13887916233821903830,14536573824381681592,120239971693269912,5325331637575693296,full,0.8785142000015185,,,substantive\residual_samples\F1-replication-3-null_control.csv,gate0-20260820-001,NARROW
F1,4,target,null-like,X1,X2,0.08540968373387985,0.025,substantive\null_statistics\F1-replication-4-target.npy,13250798396508396211,18045939433709714700,15434577725911797680,9833445375605483245,full,1.0053515999989031,,,substantive\residual_samples\F1-replication-4-target.csv,gate0-20260820-001,NARROW
F1,4,null_control,null-like,X4,X5,0.05738308816017396,0.375,substantive\null_statistics\F1-replication-4-null_control.npy,13250798396508396211,7152867917209858292,12793022621736959641,14130952431184261614,full,0.868510199999946,,,substantive\residual_samples\F1-replication-4-null_control.csv,gate0-20260820-001,NARROW
