arm,fixture_id,evaluation_rows,count,observed_median,observed_p05,observed_p95,p_value_p05,p_value_median,p_value_p95,gate_batches,null_like_share,non_null_share,ambiguous_share
fitted,F1,250,30,0.10050569347193802,0.0788439567243743,0.14271729846759926,0.075,0.5974999999999999,0.9682499999999999,3,0.0,0.0,1.0
fitted,F1,500,30,0.06957029344179358,0.05700769272784406,0.09182886161734083,0.17450000000000002,0.6375,0.9587499999999999,3,0.0,0.0,1.0
fitted,F1,1000,30,0.0537225450412626,0.039818999044509105,0.07608389669088048,0.055,0.47250000000000003,0.9664999999999999,3,0.3333333333333333,0.0,0.6666666666666666
fitted,F1,2000,30,0.03958342095909767,0.029640729585251532,0.05257494902268055,0.0685,0.39,0.9357499999999999,3,1.0,0.0,0.0
fitted,F4,250,30,0.10942350916595728,0.08361882347733562,0.15135353386336564,0.06725,0.4625,0.93875,3,0.0,0.0,1.0
fitted,F4,500,30,0.07823176039435305,0.06321031406331616,0.13841994402256091,0.01,0.385,0.83275,3,0.0,0.0,1.0
fitted,F4,1000,30,0.05692053115448971,0.04135912481877003,0.07931728613969968,0.0545,0.3075,0.9374999999999999,3,0.0,0.0,1.0
fitted,F4,2000,30,0.03875541083122048,0.029530565724538254,0.05341703740304717,0.07725,0.47000000000000003,0.94275,3,1.0,0.0,0.0
fitted,F5,250,30,0.10388405668882122,0.08418459401381365,0.15999710878201426,0.045750000000000006,0.51,0.93775,3,0.0,0.0,1.0
fitted,F5,500,30,0.07517952740332254,0.06344599090906837,0.11845246954018204,0.024000000000000004,0.495,0.8055,3,0.0,0.0,1.0
fitted,F5,1000,30,0.05131630039940573,0.039623895434700566,0.08363414138446344,0.05725000000000002,0.5874999999999999,0.9654999999999999,3,0.3333333333333333,0.0,0.6666666666666666
fitted,F5,2000,30,0.03957899455709292,0.03254061002163307,0.05384504268025011,0.04250000000000001,0.425,0.8229999999999998,3,1.0,0.0,0.0
fitted,F6,250,30,0.10996936879606498,0.08209047619835994,0.13859641281690263,0.1145,0.43000000000000005,0.9355,3,0.0,0.0,1.0
fitted,F6,500,30,0.0750183524582983,0.05848721213758975,0.09897838451212604,0.0935,0.47,0.9277500000000001,3,0.0,0.0,1.0
fitted,F6,1000,30,0.05451659287621324,0.04137846804456839,0.07693939687794216,0.0625,0.4175,0.94775,3,0.3333333333333333,0.0,0.6666666666666666
fitted,F6,2000,30,0.03764250068654493,0.02893640981027804,0.05652329784383515,0.036750000000000005,0.495,0.9454999999999999,3,1.0,0.0,0.0
reference,reference,250,30,0.10662050747375723,0.08164882276518513,0.13986232036004012,0.0995,0.4675,0.9359999999999999,3,0.0,0.0,1.0
reference,reference,500,30,0.0762296569436479,0.05857604505479241,0.10797259759668114,0.07,0.4575,0.935,3,0.0,0.0,1.0
reference,reference,1000,30,0.053525860533642895,0.04080457547176474,0.07078970914915617,0.08,0.4475,0.9467499999999998,3,0.0,0.0,1.0
reference,reference,2000,30,0.037049928833500306,0.028714205820958908,0.052032797997374966,0.07575000000000001,0.5525,0.96775,3,1.0,0.0,0.0
