component,fixture_id,pair_role,expected_class,observed_class,count,reference_count,reference_below_boundary_count,reference_low_p_value_count,observed_p05,observed_median,observed_p95,p_value_p05,p_value_median,p_value_p95,warnings,exceptions,null_statistics_paths,residual_sample_paths
reference,reference,,,,30,30.0,25.0,3.0,0.04174930532091645,0.05554719760222747,0.07908456062209598,0.037250000000000005,0.39,0.9389999999999997,,,reference/null_statistics/replication-0.npy; reference/null_statistics/replication-1.npy; reference/null_statistics/replication-10.npy; reference/null_statistics/replication-11.npy; reference/null_statistics/replication-12.npy; reference/null_statistics/replication-13.npy; reference/null_statistics/replication-14.npy; reference/null_statistics/replication-15.npy; reference/null_statistics/replication-16.npy; reference/null_statistics/replication-17.npy; reference/null_statistics/replication-18.npy; reference/null_statistics/replication-19.npy; reference/null_statistics/replication-2.npy; reference/null_statistics/replication-20.npy; reference/null_statistics/replication-21.npy; reference/null_statistics/replication-22.npy; reference/null_statistics/replication-23.npy; reference/null_statistics/replication-24.npy; reference/null_statistics/replication-25.npy; reference/null_statistics/replication-26.npy; reference/null_statistics/replication-27.npy; reference/null_statistics/replication-28.npy; reference/null_statistics/replication-29.npy; reference/null_statistics/replication-3.npy; reference/null_statistics/replication-4.npy; reference/null_statistics/replication-5.npy; reference/null_statistics/replication-6.npy; reference/null_statistics/replication-7.npy; reference/null_statistics/replication-8.npy; reference/null_statistics/replication-9.npy,
fixture,F1,target,null-like,null-like,10,,,,0.044258098446409086,0.05116046294855285,0.0655410294348569,0.18325,0.58,0.8634999999999999,,,fixtures/F1/replication-0/target-null-statistics.npy; fixtures/F1/replication-1/target-null-statistics.npy; fixtures/F1/replication-2/target-null-statistics.npy; fixtures/F1/replication-3/target-null-statistics.npy; fixtures/F1/replication-4/target-null-statistics.npy; fixtures/F1/replication-5/target-null-statistics.npy; fixtures/F1/replication-6/target-null-statistics.npy; fixtures/F1/replication-7/target-null-statistics.npy; fixtures/F1/replication-8/target-null-statistics.npy; fixtures/F1/replication-9/target-null-statistics.npy,fixtures/F1/replication-0/target-residual-sample.csv; fixtures/F1/replication-1/target-residual-sample.csv; fixtures/F1/replication-2/target-residual-sample.csv; fixtures/F1/replication-3/target-residual-sample.csv; fixtures/F1/replication-4/target-residual-sample.csv; fixtures/F1/replication-5/target-residual-sample.csv; fixtures/F1/replication-6/target-residual-sample.csv; fixtures/F1/replication-7/target-residual-sample.csv; fixtures/F1/replication-8/target-residual-sample.csv; fixtures/F1/replication-9/target-residual-sample.csv
fixture,F1,null-control,null-like,null-like,10,,,,0.0403233377273511,0.05239683307590272,0.06310300656448187,0.27025000000000005,0.5525,0.95375,,,fixtures/F1/replication-0/null-control-null-statistics.npy; fixtures/F1/replication-1/null-control-null-statistics.npy; fixtures/F1/replication-2/null-control-null-statistics.npy; fixtures/F1/replication-3/null-control-null-statistics.npy; fixtures/F1/replication-4/null-control-null-statistics.npy; fixtures/F1/replication-5/null-control-null-statistics.npy; fixtures/F1/replication-6/null-control-null-statistics.npy; fixtures/F1/replication-7/null-control-null-statistics.npy; fixtures/F1/replication-8/null-control-null-statistics.npy; fixtures/F1/replication-9/null-control-null-statistics.npy,fixtures/F1/replication-0/null-control-residual-sample.csv; fixtures/F1/replication-1/null-control-residual-sample.csv; fixtures/F1/replication-2/null-control-residual-sample.csv; fixtures/F1/replication-3/null-control-residual-sample.csv; fixtures/F1/replication-4/null-control-residual-sample.csv; fixtures/F1/replication-5/null-control-residual-sample.csv; fixtures/F1/replication-6/null-control-residual-sample.csv; fixtures/F1/replication-7/null-control-residual-sample.csv; fixtures/F1/replication-8/null-control-residual-sample.csv; fixtures/F1/replication-9/null-control-residual-sample.csv
fixture,F2,target,non-null,non-null,10,,,,0.4903274973050216,0.5154357864026743,0.5424633671065069,0.005,0.005,0.005,,,fixtures/F2/replication-0/target-null-statistics.npy; fixtures/F2/replication-1/target-null-statistics.npy; fixtures/F2/replication-2/target-null-statistics.npy; fixtures/F2/replication-3/target-null-statistics.npy; fixtures/F2/replication-4/target-null-statistics.npy; fixtures/F2/replication-5/target-null-statistics.npy; fixtures/F2/replication-6/target-null-statistics.npy; fixtures/F2/replication-7/target-null-statistics.npy; fixtures/F2/replication-8/target-null-statistics.npy; fixtures/F2/replication-9/target-null-statistics.npy,fixtures/F2/replication-0/target-residual-sample.csv; fixtures/F2/replication-1/target-residual-sample.csv; fixtures/F2/replication-2/target-residual-sample.csv; fixtures/F2/replication-3/target-residual-sample.csv; fixtures/F2/replication-4/target-residual-sample.csv; fixtures/F2/replication-5/target-residual-sample.csv; fixtures/F2/replication-6/target-residual-sample.csv; fixtures/F2/replication-7/target-residual-sample.csv; fixtures/F2/replication-8/target-residual-sample.csv; fixtures/F2/replication-9/target-residual-sample.csv
fixture,F2,null-control,null-like,null-like,10,,,,0.04585948209239891,0.05379885448767098,0.06339602613826735,0.17300000000000001,0.5,0.78925,,,fixtures/F2/replication-0/null-control-null-statistics.npy; fixtures/F2/replication-1/null-control-null-statistics.npy; fixtures/F2/replication-2/null-control-null-statistics.npy; fixtures/F2/replication-3/null-control-null-statistics.npy; fixtures/F2/replication-4/null-control-null-statistics.npy; fixtures/F2/replication-5/null-control-null-statistics.npy; fixtures/F2/replication-6/null-control-null-statistics.npy; fixtures/F2/replication-7/null-control-null-statistics.npy; fixtures/F2/replication-8/null-control-null-statistics.npy; fixtures/F2/replication-9/null-control-null-statistics.npy,fixtures/F2/replication-0/null-control-residual-sample.csv; fixtures/F2/replication-1/null-control-residual-sample.csv; fixtures/F2/replication-2/null-control-residual-sample.csv; fixtures/F2/replication-3/null-control-residual-sample.csv; fixtures/F2/replication-4/null-control-residual-sample.csv; fixtures/F2/replication-5/null-control-residual-sample.csv; fixtures/F2/replication-6/null-control-residual-sample.csv; fixtures/F2/replication-7/null-control-residual-sample.csv; fixtures/F2/replication-8/null-control-residual-sample.csv; fixtures/F2/replication-9/null-control-residual-sample.csv
fixture,F3,target,non-null,non-null,10,,,,0.3107923675109141,0.3307648452565558,0.3468249267230135,0.005,0.005,0.005,,,fixtures/F3/replication-0/target-null-statistics.npy; fixtures/F3/replication-1/target-null-statistics.npy; fixtures/F3/replication-2/target-null-statistics.npy; fixtures/F3/replication-3/target-null-statistics.npy; fixtures/F3/replication-4/target-null-statistics.npy; fixtures/F3/replication-5/target-null-statistics.npy; fixtures/F3/replication-6/target-null-statistics.npy; fixtures/F3/replication-7/target-null-statistics.npy; fixtures/F3/replication-8/target-null-statistics.npy; fixtures/F3/replication-9/target-null-statistics.npy,fixtures/F3/replication-0/target-residual-sample.csv; fixtures/F3/replication-1/target-residual-sample.csv; fixtures/F3/replication-2/target-residual-sample.csv; fixtures/F3/replication-3/target-residual-sample.csv; fixtures/F3/replication-4/target-residual-sample.csv; fixtures/F3/replication-5/target-residual-sample.csv; fixtures/F3/replication-6/target-residual-sample.csv; fixtures/F3/replication-7/target-residual-sample.csv; fixtures/F3/replication-8/target-residual-sample.csv; fixtures/F3/replication-9/target-residual-sample.csv
fixture,F3,null-control,null-like,null-like,10,,,,0.042330069770139325,0.05493755494394888,0.06426349600391011,0.166,0.4375,0.8534999999999997,,,fixtures/F3/replication-0/null-control-null-statistics.npy; fixtures/F3/replication-1/null-control-null-statistics.npy; fixtures/F3/replication-2/null-control-null-statistics.npy; fixtures/F3/replication-3/null-control-null-statistics.npy; fixtures/F3/replication-4/null-control-null-statistics.npy; fixtures/F3/replication-5/null-control-null-statistics.npy; fixtures/F3/replication-6/null-control-null-statistics.npy; fixtures/F3/replication-7/null-control-null-statistics.npy; fixtures/F3/replication-8/null-control-null-statistics.npy; fixtures/F3/replication-9/null-control-null-statistics.npy,fixtures/F3/replication-0/null-control-residual-sample.csv; fixtures/F3/replication-1/null-control-residual-sample.csv; fixtures/F3/replication-2/null-control-residual-sample.csv; fixtures/F3/replication-3/null-control-residual-sample.csv; fixtures/F3/replication-4/null-control-residual-sample.csv; fixtures/F3/replication-5/null-control-residual-sample.csv; fixtures/F3/replication-6/null-control-residual-sample.csv; fixtures/F3/replication-7/null-control-residual-sample.csv; fixtures/F3/replication-8/null-control-residual-sample.csv; fixtures/F3/replication-9/null-control-residual-sample.csv
fixture,F4,target,null-like,null-like,10,,,,0.042722014523540464,0.04937151850984377,0.060524607646971824,0.26125,0.6275,0.905,,,fixtures/F4/replication-0/target-null-statistics.npy; fixtures/F4/replication-1/target-null-statistics.npy; fixtures/F4/replication-2/target-null-statistics.npy; fixtures/F4/replication-3/target-null-statistics.npy; fixtures/F4/replication-4/target-null-statistics.npy; fixtures/F4/replication-5/target-null-statistics.npy; fixtures/F4/replication-6/target-null-statistics.npy; fixtures/F4/replication-7/target-null-statistics.npy; fixtures/F4/replication-8/target-null-statistics.npy; fixtures/F4/replication-9/target-null-statistics.npy,fixtures/F4/replication-0/target-residual-sample.csv; fixtures/F4/replication-1/target-residual-sample.csv; fixtures/F4/replication-2/target-residual-sample.csv; fixtures/F4/replication-3/target-residual-sample.csv; fixtures/F4/replication-4/target-residual-sample.csv; fixtures/F4/replication-5/target-residual-sample.csv; fixtures/F4/replication-6/target-residual-sample.csv; fixtures/F4/replication-7/target-residual-sample.csv; fixtures/F4/replication-8/target-residual-sample.csv; fixtures/F4/replication-9/target-residual-sample.csv
fixture,F4,null-control,null-like,null-like,10,,,,0.03972775842834975,0.05000741999718092,0.06277711067885286,0.23575,0.6075,0.95575,,,fixtures/F4/replication-0/null-control-null-statistics.npy; fixtures/F4/replication-1/null-control-null-statistics.npy; fixtures/F4/replication-2/null-control-null-statistics.npy; fixtures/F4/replication-3/null-control-null-statistics.npy; fixtures/F4/replication-4/null-control-null-statistics.npy; fixtures/F4/replication-5/null-control-null-statistics.npy; fixtures/F4/replication-6/null-control-null-statistics.npy; fixtures/F4/replication-7/null-control-null-statistics.npy; fixtures/F4/replication-8/null-control-null-statistics.npy; fixtures/F4/replication-9/null-control-null-statistics.npy,fixtures/F4/replication-0/null-control-residual-sample.csv; fixtures/F4/replication-1/null-control-residual-sample.csv; fixtures/F4/replication-2/null-control-residual-sample.csv; fixtures/F4/replication-3/null-control-residual-sample.csv; fixtures/F4/replication-4/null-control-residual-sample.csv; fixtures/F4/replication-5/null-control-residual-sample.csv; fixtures/F4/replication-6/null-control-residual-sample.csv; fixtures/F4/replication-7/null-control-residual-sample.csv; fixtures/F4/replication-8/null-control-residual-sample.csv; fixtures/F4/replication-9/null-control-residual-sample.csv
fixture,F5,target,null-like,null-like,10,,,,0.040627253522981854,0.04854832373922354,0.0863766214503139,0.032,0.7225,0.9444999999999999,,,fixtures/F5/replication-0/target-null-statistics.npy; fixtures/F5/replication-1/target-null-statistics.npy; fixtures/F5/replication-2/target-null-statistics.npy; fixtures/F5/replication-3/target-null-statistics.npy; fixtures/F5/replication-4/target-null-statistics.npy; fixtures/F5/replication-5/target-null-statistics.npy; fixtures/F5/replication-6/target-null-statistics.npy; fixtures/F5/replication-7/target-null-statistics.npy; fixtures/F5/replication-8/target-null-statistics.npy; fixtures/F5/replication-9/target-null-statistics.npy,fixtures/F5/replication-0/target-residual-sample.csv; fixtures/F5/replication-1/target-residual-sample.csv; fixtures/F5/replication-2/target-residual-sample.csv; fixtures/F5/replication-3/target-residual-sample.csv; fixtures/F5/replication-4/target-residual-sample.csv; fixtures/F5/replication-5/target-residual-sample.csv; fixtures/F5/replication-6/target-residual-sample.csv; fixtures/F5/replication-7/target-residual-sample.csv; fixtures/F5/replication-8/target-residual-sample.csv; fixtures/F5/replication-9/target-residual-sample.csv
fixture,F5,null-control,null-like,null-like,10,,,,0.04319287564323387,0.05437058282124989,0.05997112244749146,0.264,0.455,0.8754999999999998,,,fixtures/F5/replication-0/null-control-null-statistics.npy; fixtures/F5/replication-1/null-control-null-statistics.npy; fixtures/F5/replication-2/null-control-null-statistics.npy; fixtures/F5/replication-3/null-control-null-statistics.npy; fixtures/F5/replication-4/null-control-null-statistics.npy; fixtures/F5/replication-5/null-control-null-statistics.npy; fixtures/F5/replication-6/null-control-null-statistics.npy; fixtures/F5/replication-7/null-control-null-statistics.npy; fixtures/F5/replication-8/null-control-null-statistics.npy; fixtures/F5/replication-9/null-control-null-statistics.npy,fixtures/F5/replication-0/null-control-residual-sample.csv; fixtures/F5/replication-1/null-control-residual-sample.csv; fixtures/F5/replication-2/null-control-residual-sample.csv; fixtures/F5/replication-3/null-control-residual-sample.csv; fixtures/F5/replication-4/null-control-residual-sample.csv; fixtures/F5/replication-5/null-control-residual-sample.csv; fixtures/F5/replication-6/null-control-residual-sample.csv; fixtures/F5/replication-7/null-control-residual-sample.csv; fixtures/F5/replication-8/null-control-residual-sample.csv; fixtures/F5/replication-9/null-control-residual-sample.csv
