run_id,component,fixture_id,pair_role,expected_class,replication,observed_statistic,permutation_p_value,null_statistics_path,residual_sample_path,seed_namespace,fixture_seed,residual_seed,evaluation_seed,left_seed,right_seed,permutation_seed,elapsed_seconds,warnings,exception_text
reference-confirmation-20260820-001,reference,reference,,,0,0.05980464691768234,0.285,reference/null_statistics/replication-0.npy,,reference-confirmation,,,,6652621220663649132,6094816661423464219,15510140285318160063,0.29268680000677705,,
reference-confirmation-20260820-001,reference,reference,,,1,0.06542398992388541,0.18,reference/null_statistics/replication-1.npy,,reference-confirmation,,,,356913597461172008,2062742977091036302,1418632321811897616,0.3050727000008919,,
reference-confirmation-20260820-001,reference,reference,,,2,0.057278696057258785,0.325,reference/null_statistics/replication-2.npy,,reference-confirmation,,,,2962407890613255903,15076498610652568781,8290436813880894568,0.2739251999955741,,
reference-confirmation-20260820-001,reference,reference,,,3,0.058966226403278595,0.255,reference/null_statistics/replication-3.npy,,reference-confirmation,,,,2108280374637066992,5848795036019915173,13047328357337379200,0.27262870000413386,,
reference-confirmation-20260820-001,reference,reference,,,4,0.06870480491587642,0.11,reference/null_statistics/replication-4.npy,,reference-confirmation,,,,5985563585883063421,17433218557875844135,5185667605336479032,0.27626100000634324,,
reference-confirmation-20260820-001,reference,reference,,,5,0.058371817060167704,0.315,reference/null_statistics/replication-5.npy,,reference-confirmation,,,,7908721381037147410,8888293259762044748,4018944219613093884,0.2692433999982313,,
reference-confirmation-20260820-001,reference,reference,,,6,0.0754240933983453,0.08,reference/null_statistics/replication-6.npy,,reference-confirmation,,,,15057942566514526339,8282402364726476437,5866610373084861729,0.3331246000016108,,
reference-confirmation-20260820-001,reference,reference,,,7,0.04883467617040299,0.67,reference/null_statistics/replication-7.npy,,reference-confirmation,,,,4194582874983143492,12030476311520935280,10005927187096257200,0.28698090000398224,,
reference-confirmation-20260820-001,reference,reference,,,8,0.043860075873883964,0.835,reference/null_statistics/replication-8.npy,,reference-confirmation,,,,12069211820450356818,7132717060469451896,17903707033244850557,0.27962639999896055,,
reference-confirmation-20260820-001,reference,reference,,,9,0.04943182468714535,0.705,reference/null_statistics/replication-9.npy,,reference-confirmation,,,,1677037658551235103,9710119419964903303,15347983226641318937,0.31854930000554305,,
reference-confirmation-20260820-001,reference,reference,,,10,0.0743367472262743,0.065,reference/null_statistics/replication-10.npy,,reference-confirmation,,,,3628651761232934133,9561347799968936329,16069813856593355008,0.3286725999932969,,
reference-confirmation-20260820-001,reference,reference,,,11,0.054060504862898054,0.405,reference/null_statistics/replication-11.npy,,reference-confirmation,,,,17345050657000094577,11730055668944537304,3982164314857006222,0.27212409999629017,,
reference-confirmation-20260820-001,reference,reference,,,12,0.06799834421685766,0.1,reference/null_statistics/replication-12.npy,,reference-confirmation,,,,5176901752865170891,1083560162278021880,11558302715378044934,0.26900000000023283,,
reference-confirmation-20260820-001,reference,reference,,,13,0.05019495999494833,0.62,reference/null_statistics/replication-13.npy,,reference-confirmation,,,,9648726296673533400,6192433977232893507,8759683220164559831,0.27759530000184895,,
reference-confirmation-20260820-001,reference,reference,,,14,0.04056990278354666,0.975,reference/null_statistics/replication-14.npy,,reference-confirmation,,,,7243071640603908605,6720804929639548245,13861136952622992048,0.2886565000007977,,
reference-confirmation-20260820-001,reference,reference,,,15,0.04995687813493904,0.635,reference/null_statistics/replication-15.npy,,reference-confirmation,,,,9471973250704144053,16494607579711716716,8900157245360280902,0.31360229999700096,,
reference-confirmation-20260820-001,reference,reference,,,16,0.0503387286406765,0.65,reference/null_statistics/replication-16.npy,,reference-confirmation,,,,12500556819013646657,5725031861570670813,6996990974518715909,0.29275960000086343,,
reference-confirmation-20260820-001,reference,reference,,,17,0.04781588485300567,0.73,reference/null_statistics/replication-17.npy,,reference-confirmation,,,,8846472826782538194,5713580931070165217,6048140526666359323,0.47243429999798536,,
