source_record_index,run_id,arm,fixture_id,replication,evaluation_rows,fixture_seed,residual_seed,evaluation_seed,left_seed,right_seed,permutation_seed
0,null-calibration-20260820-001,fitted,F1,0,250,6433342065636847493,17936904942616992301,14107422319196904710,,,3384096685922538534
1,null-calibration-20260820-001,fitted,F1,0,500,6433342065636847493,17936904942616992301,18237930708185113606,,,10983048282117966925
2,null-calibration-20260820-001,fitted,F1,0,1000,6433342065636847493,17936904942616992301,6789199994010156349,,,7115305818577428388
3,null-calibration-20260820-001,fitted,F1,0,2000,6433342065636847493,17936904942616992301,6751472832347621775,,,11969085274972736441
4,null-calibration-20260820-001,fitted,F4,0,250,6495341271594803981,10531303259242432662,10906892172498845488,,,459401043993227185
5,null-calibration-20260820-001,fitted,F4,0,500,6495341271594803981,10531303259242432662,10065051608984753825,,,10968130604447332065
6,null-calibration-20260820-001,fitted,F4,0,1000,6495341271594803981,10531303259242432662,779969474200647528,,,15320108692497841542
7,null-calibration-20260820-001,fitted,F4,0,2000,6495341271594803981,10531303259242432662,10887600092552082484,,,12282675893312349365
8,null-calibration-20260820-001,fitted,F5,0,250,18414520085412846272,14207188485339304611,136239470909536289,,,6302315249655892968
9,null-calibration-20260820-001,fitted,F5,0,500,18414520085412846272,14207188485339304611,8353196989199314461,,,900025319440936340
10,null-calibration-20260820-001,fitted,F5,0,1000,18414520085412846272,14207188485339304611,1117683112722674554,,,15564905284261387135
11,null-calibration-20260820-001,fitted,F5,0,2000,18414520085412846272,14207188485339304611,5610506653472678919,,,10258564739603154197
12,null-calibration-20260820-001,fitted,F6,0,250,3824263721525427607,79186252151948232,17046997963289497296,,,9127851140364490558
13,null-calibration-20260820-001,fitted,F6,0,500,3824263721525427607,79186252151948232,15449579509425216380,,,6943142502619029747
14,null-calibration-20260820-001,fitted,F6,0,1000,3824263721525427607,79186252151948232,10159395418066596849,,,13611119104642698961
15,null-calibration-20260820-001,fitted,F6,0,2000,3824263721525427607,79186252151948232,237349756168594535,,,18129460340584230377
16,null-calibration-20260820-001,reference,reference,0,250,,,,17926931931858939750,9070928938777396677,1079019629264358956
17,null-calibration-20260820-001,reference,reference,0,500,,,,12048045064488122522,1496049702987028320,15833380306904397094
18,null-calibration-20260820-001,reference,reference,0,1000,,,,2331790891218705107,12733761449177204039,15711188722585266919
19,null-calibration-20260820-001,reference,reference,0,2000,,,,14508386997714760048,3980014493076055399,12263912317472547688
20,null-calibration-20260820-001,fitted,F1,1,250,4699812689774322753,4607983943704210050,3502078239908722320,,,11324850889149307786
21,null-calibration-20260820-001,fitted,F1,1,500,4699812689774322753,4607983943704210050,10253500765279790357,,,1237808432098800373
22,null-calibration-20260820-001,fitted,F1,1,1000,4699812689774322753,4607983943704210050,4139711339124704254,,,1452907668379322990
23,null-calibration-20260820-001,fitted,F1,1,2000,4699812689774322753,4607983943704210050,2774437170051674433,,,9759492628271729606
24,null-calibration-20260820-001,fitted,F4,1,250,9499300412269736723,6179578886687568595,17298231691073478252,,,7576170669037087585
25,null-calibration-20260820-001,fitted,F4,1,500,9499300412269736723,6179578886687568595,13167578865754892952,,,3784920135483935414
26,null-calibration-20260820-001,fitted,F4,1,1000,9499300412269736723,6179578886687568595,17998243223251901092,,,15309796070970063026
27,null-calibration-20260820-001,fitted,F4,1,2000,9499300412269736723,6179578886687568595,14259516617633093824,,,13546656290240739763
28,null-calibration-20260820-001,fitted,F5,1,250,1140140506340360697,17708401061689124292,15432516919307549939,,,14492880195258680545
29,null-calibration-20260820-001,fitted,F5,1,500,1140140506340360697,17708401061689124292,18209697734397152984,,,13750151010226062380
30,null-calibration-20260820-001,fitted,F5,1,1000,1140140506340360697,17708401061689124292,3840891748359200444,,,982008159221279821
